w,c1=c2,epoch,g_best
0.3,3,7,28218.6
0.3,3,8,28377.3
0.3,3,9,27275.9
0.3,3,10,37226.4
0.3,3,11,30527.4
0.3,3,12,34483.8
0.3,3,13,33438.6
0.3,3,14,32831.3
0.3,3,15,35896.9
0.3,3,16,34259.8
0.3,3,17,21400.8
0.3,3,18,37638.9
0.3,3,19,31392.1
0.3,3,20,29769.4
0.3,3,21,33719.6
0.3,3,22,29755.3
0.3,3,23,30601.8
0.3,3,24,33938.6
0.3,3,25,32035.8
0.3,3,26,32173.5
0.3,3,27,27067.9
0.3,3,28,30180.2
0.3,3,29,29855.2
0.3,3.5,0,35135
0.3,3.5,1,32921.7
0.3,3.5,2,41786.9
0.3,3.5,3,42709
0.3,3.5,4,34411.2
0.3,3.5,5,35200.6
0.3,3.5,6,40642
0.3,3.5,7,31443
0.3,3.5,8,34412.6
0.3,3.5,9,38813.3
0.3,3.5,10,39941.7
0.3,3.5,11,38625
0.3,3.5,12,35996.4
0.3,3.5,13,30853.2
0.3,3.5,14,35063.6
0.3,3.5,15,37437.5
0.3,3.5,16,41842.4
0.3,3.5,17,36977.2
0.3,3.5,18,27295.4
0.3,3.5,19,35817
0.3,3.5,20,35299.9
0.3,3.5,21,42502.1
0.3,3.5,22,31409.5
0.3,3.5,23,41370.7
0.3,3.5,24,39869
0.3,3.5,25,37459.1
0.3,3.5,26,35351.8
0.3,3.5,27,35187.3
0.3,3.5,28,38283.3
0.3,3.5,29,34045.1
0.4,0.5,0,7989.07
0.4,0.5,1,9035.4
0.4,0.5,2,10693.1
0.4,0.5,3,4053.13
0.4,0.5,4,12068.3
0.4,0.5,5,9910.16
0.4,0.5,6,8403.7
0.4,0.5,7,9863.91
0.4,0.5,8,8107.13
0.4,0.5,9,5506.2
0.4,0.5,10,8365.48
0.4,0.5,11,11830.3
0.4,0.5,12,10805.8
0.4,0.5,13,8033.53
0.4,0.5,14,7901.03
0.4,0.5,15,8260.75
0.4,0.5,16,11327.4
0.4,0.5,17,7301.78
0.4,0.5,18,9936.75
0.4,0.5,19,7282.44
0.4,0.5,20,6001.29
0.4,0.5,21,8585.03
0.4,0.5,22,10126.9
0.4,0.5,23,10543.6
0.4,0.5,24,11904.2
0.4,0.5,25,6704.75
0.4,0.5,26,8388.48
0.4,0.5,27,9419.45
0.4,0.5,28,8141.39
0.4,0.5,29,8797.76
0.4,1,0,709.577
0.4,1,1,1900.2
0.4,1,2,1589.65
0.4,1,3,1235.78
0.4,1,4,3057.76
0.4,1,5,1636.53
0.4,1,6,1444.77
0.4,1,7,1690.11
0.4,1,8,1028.97
0.4,1,9,4929.09
0.4,1,10,1231.94
0.4,1,11,2781.04
0.4,1,12,2422.48
0.4,1,13,2485.26
0.4,1,14,2793.26
0.4,1,15,1456.48
0.4,1,16,1380.66
0.4,1,17,1532.33
0.4,1,18,1739.65
0.4,1,19,3022.2
0.4,1,20,880.115
0.4,1,21,2352.58
0.4,1,22,2048.67
0.4,1,23,2521.08
0.4,1,24,2983.13
0.4,1,25,2089.84
0.4,1,26,589.699
0.4,1,27,1484.38
0.4,1,28,1176.42
0.4,1,29,3065.01
0.4,1.5,0,7.89697
0.4,1.5,1,0.180831
0.4,1.5,2,0.000474974
0.4,1.5,3,5.54699
0.4,1.5,4,3.60999
0.4,1.5,5,0.450907
0.4,1.5,6,2.20998
0.4,1.5,7,25.9334
0.4,1.5,8,0.0127596
0.4,1.5,9,1.45633
0.4,1.5,10,4.58479
0.4,1.5,11,33.8054
0.4,1.5,12,4.88325e-05
0.4,1.5,13,5.36884
0.4,1.5,14,5.31354
0.4,1.5,15,0.503103
0.4,1.5,16,0.0418987
0.4,1.5,17,0.00572581
0.4,1.5,18,0.0169918
0.4,1.5,19,0.211737
0.4,1.5,20,0.163273
0.4,1.5,21,0.905665
0.4,1.5,22,0.0207209
0.4,1.5,23,0.712961
0.4,1.5,24,0.202612
0.4,1.5,25,3.6802
0.4,1.5,26,1.82383
0.4,1.5,27,4.15827
0.4,1.5,28,111.504
0.4,1.5,29,2.63797
0.4,2,0,2.16111e-13
0.4,2,1,8.31094e-11
0.4,2,2,1.75491e-13
0.4,2,3,2.27137e-12
0.4,2,4,1.25357e-12
0.4,2,5,2.38609e-14
0.4,2,6,3.69969e-12
0.4,2,7,5.84469e-13
0.4,2,8,1.45468e-11
0.4,2,9,4.22745e-14
0.4,2,10,6.45238e-13
0.4,2,11,1.31227e-13
0.4,2,12,1.49165e-13
0.4,2,13,5.51364e-12
0.4,2,14,1.34039e-12
0.4,2,15,1.69168e-15
0.4,2,16,2.43514e-12
0.4,2,17,6.84711e-12
0.4,2,18,4.65939e-13
0.4,2,19,2.60797e-14
0.4,2,20,6.29889e-13
0.4,2,21,6.7242e-14
0.4,2,22,7.46767e-12
0.4,2,23,1.12401e-13
0.4,2,24,7.54913e-11
0.4,2,25,1.6535e-13
0.4,2,26,2.07069e-14
0.4,2,27,6.85034e-14
0.4,2,28,6.30378e-13
0.4,2,29,1.46304e-12
0.4,2.5,0,11256
0.4,2.5,1,13007.2
0.4,2.5,2,13435.5
0.4,2.5,3,9868.89
0.4,2.5,4,12208.9
0.4,2.5,5,13683.3
0.4,2.5,6,10277
0.4,2.5,7,10065.1
0.4,2.5,8,7503.92
0.4,2.5,9,9238.4
0.4,2.5,10,11057
0.4,2.5,11,7976.69
0.4,2.5,12,7021.79
0.4,2.5,13,4625.03
0.4,2.5,14,15026.7
0.4,2.5,15,8596.47
0.4,2.5,16,15130.2
0.4,2.5,17,11219.6
0.4,2.5,18,14475
0.4,2.5,19,10427.4
0.4,2.5,20,6239.8
0.4,2.5,21,13352
0.4,2.5,22,14840.8
0.4,2.5,23,15088.9
0.4,2.5,24,10069.2
0.4,2.5,25,10468.8
0.4,2.5,26,6284.25
0.4,2.5,27,7505.48
0.4,2.5,28,10730.6
0.4,2.5,29,13356.8
0.4,3,0,28803.3
0.4,3,1,32392.7
0.4,3,2,31131.9
0.4,3,3,28222.2
0.4,3,4,26834.4
0.4,3,5,26547.5
0.4,3,6,26561.7
0.4,3,7,32376.9
0.4,3,8,34658.7
0.4,3,9,30392.6
0.4,3,10,30063.7
0.4,3,11,33697.9
0.4,3,12,33093.9
0.4,3,13,30323
0.4,3,14,34901
0.4,3,15,31068.4
0.4,3,16,26126.9
0.4,3,17,35035.6
0.4,3,18,33472.2
0.4,3,19,35734
0.4,3,20,28525.2
0.4,3,21,24975.9
0.4,3,22,31646.9
0.4,3,23,34570.8
0.4,3,24,32465.2
0.4,3,25,29274.8
0.4,3,26,32936.5
0.4,3,27,35413.3
0.4,3,28,31488.1
0.4,3,29,27504
0.4,3.5,0,36950.6
0.4,3.5,1,33342.8
0.4,3.5,2,34576.5
0.4,3.5,3,35371.9
0.4,3.5,4,36023.1
0.4,3.5,5,38080.8
0.4,3.5,6,40185.9
0.4,3.5,7,42036.7
0.4,3.5,8,38371.2
0.4,3.5,9,36229.8
0.4,3.5,10,36397
0.4,3.5,11,34646.7
0.4,3.5,12,35497.3
0.4,3.5,13,37768.6
0.4,3.5,14,39598.1
0.4,3.5,15,39186
0.4,3.5,16,33286.9
0.4,3.5,17,36943.5
0.4,3.5,18,42350.8
0.4,3.5,19,39658.2
0.4,3.5,20,33638.4
0.4,3.5,21,42753.5
0.4,3.5,22,40021.1
0.4,3.5,23,28850.2
0.4,3.5,24,34896.6
0.4,3.5,25,36545.1
0.4,3.5,26,38987.6
0.4,3.5,27,34569.2
0.4,3.5,28,37427.9
0.4,3.5,29,40255
0.5,0.5,0,6939.77
0.5,0.5,1,6091.1
0.5,0.5,2,8459.16
0.5,0.5,3,8894.52
0.5,0.5,4,5493.59
0.5,0.5,5,9159.06
0.5,0.5,6,9048.41
0.5,0.5,7,9832.16
0.5,0.5,8,10736
0.5,0.5,9,6441.77
0.5,0.5,10,7127.6
0.5,0.5,11,9961.84
0.5,0.5,12,12197.4
0.5,0.5,13,8680.71
0.5,0.5,14,12412.8
0.5,0.5,15,10388
0.5,0.5,16,12407.3
0.5,0.5,17,11666.7
0.5,0.5,18,7748.53
0.5,0.5,19,10065.4
0.5,0.5,20,7897.03
0.5,0.5,21,6019.24
0.5,0.5,22,9612.34
0.5,0.5,23,8747.36
0.5,0.5,24,5440.05
0.5,0.5,25,10724.9
0.5,0.5,26,11418.1
0.5,0.5,27,16336.6
0.5,0.5,28,6149.28
0.5,0.5,29,4330.29
0.5,1,0,411.48
0.5,1,1,39.1307
0.5,1,2,165.182
0.5,1,3,23.3902
0.5,1,4,28.6416
0.5,1,5,102.614
0.5,1,6,205.342
0.5,1,7,59.2864
0.5,1,8,112.74
0.5,1,9,353.399
0.5,1,10,831.497
0.5,1,11,46.6871
0.5,1,12,764.694
0.5,1,13,637.093
0.5,1,14,131.909
0.5,1,15,139.402
0.5,1,16,78.3466
0.5,1,17,24.8796
0.5,1,18,129.03
0.5,1,19,145.848
0.5,1,20,92.2362
0.5,1,21,131.063
0.5,1,22,101.882
0.5,1,23,161.067
0.5,1,24,415.259
0.5,1,25,5.9348
0.5,1,26,29.1226
0.5,1,27,405.47
0.5,1,28,126.196
0.5,1,29,26.4029
0.5,1.5,0,2.68528e-06
0.5,1.5,1,1.53637e-08
0.5,1.5,2,3.11279e-05
0.5,1.5,3,2.55121e-15
0.5,1.5,4,3.88896e-09
0.5,1.5,5,0.00173267
0.5,1.5,6,1.67258e-08
0.5,1.5,7,1.1426e-06
0.5,1.5,8,6.7165e-14
0.5,1.5,9,5.46922e-07
0.5,1.5,10,2.90727e-09
0.5,1.5,11,8.89208e-11
0.5,1.5,12,3.67936e-13
0.5,1.5,13,1.23256e-10
0.5,1.5,14,1.01463e-13
0.5,1.5,15,1.62209e-10
0.5,1.5,16,2.82067e-08
0.5,1.5,17,2.74532e-14
0.5,1.5,18,8.44226e-07
0.5,1.5,19,1.06401e-13
0.5,1.5,20,2.14088e-07
0.5,1.5,21,5.35493e-11
0.5,1.5,22,1.87696e-09
0.5,1.5,23,7.31453e-08
0.5,1.5,24,0.000692018
0.5,1.5,25,6.90736e-10
0.5,1.5,26,3.23433e-12
0.5,1.5,27,7.49744e-12
0.5,1.5,28,2.44849e-10
0.5,1.5,29,4.90714e-10
0.5,2,0,4.87798e-09
0.5,2,1,3.05927e-09
0.5,2,2,9.2282e-10
0.5,2,3,2.99666e-08
0.5,2,4,9.43625e-07
0.5,2,5,1.39706e-08
0.5,2,6,3.48769e-09
0.5,2,7,3.49367e-09
0.5,2,8,1.14215e-07
0.5,2,9,3.13141e-08
0.5,2,10,4.80506e-09
0.5,2,11,7.05192e-09
0.5,2,12,1.56206e-08
0.5,2,13,1.64377e-08
0.5,2,14,9.10787e-09
0.5,2,15,3.08087e-08
0.5,2,16,1.82424e-07
0.5,2,17,6.32996e-08
0.5,2,18,3.15105e-09
0.5,2,19,2.11327e-08
0.5,2,20,6.03768e-09
0.5,2,21,1.46783e-08
0.5,2,22,2.49119e-09
0.5,2,23,9.88158e-09
0.5,2,24,1.35712e-08
0.5,2,25,2.35783e-09
0.5,2,26,2.47496e-09
