w: 0.2, c1=c2: 0.5, epoch: 5, g_best: 8461.66
w: 0.2, c1=c2: 0.5, epoch: 6, g_best: 4692.85
w: 0.2, c1=c2: 0.5, epoch: 7, g_best: 7334.19
w: 0.2, c1=c2: 0.5, epoch: 8, g_best: 4826.96
w: 0.2, c1=c2: 0.5, epoch: 9, g_best: 9419.76
w: 0.2, c1=c2: 0.5, epoch: 10, g_best: 3215.73
w: 0.2, c1=c2: 0.5, epoch: 11, g_best: 5029.12
w: 0.2, c1=c2: 0.5, epoch: 12, g_best: 6507.2
w: 0.2, c1=c2: 0.5, epoch: 13, g_best: 4701.49
w: 0.2, c1=c2: 0.5, epoch: 14, g_best: 6041.15
w: 0.2, c1=c2: 0.5, epoch: 15, g_best: 6354.91
w: 0.2, c1=c2: 0.5, epoch: 16, g_best: 10780.4
w: 0.2, c1=c2: 0.5, epoch: 17, g_best: 10900.9
w: 0.2, c1=c2: 0.5, epoch: 18, g_best: 10741.3
w: 0.2, c1=c2: 0.5, epoch: 19, g_best: 5755.57
w: 0.2, c1=c2: 0.5, epoch: 20, g_best: 8248.58
w: 0.2, c1=c2: 0.5, epoch: 21, g_best: 9814.58
w: 0.2, c1=c2: 0.5, epoch: 22, g_best: 6158.67
w: 0.2, c1=c2: 0.5, epoch: 23, g_best: 5946.78
w: 0.2, c1=c2: 0.5, epoch: 24, g_best: 7750.46
w: 0.2, c1=c2: 0.5, epoch: 25, g_best: 4923.83
w: 0.2, c1=c2: 0.5, epoch: 26, g_best: 5230.56
w: 0.2, c1=c2: 0.5, epoch: 27, g_best: 7691.96
w: 0.2, c1=c2: 0.5, epoch: 28, g_best: 9422.5
w: 0.2, c1=c2: 0.5, epoch: 29, g_best: 6430.24
w: 0.2, c1=c2: 1, epoch: 0, g_best: 6217.05
w: 0.2, c1=c2: 1, epoch: 1, g_best: 7141.91
w: 0.2, c1=c2: 1, epoch: 2, g_best: 12126.8
w: 0.2, c1=c2: 1, epoch: 3, g_best: 13863.3
w: 0.2, c1=c2: 1, epoch: 4, g_best: 12807
w: 0.2, c1=c2: 1, epoch: 5, g_best: 6959.62
w: 0.2, c1=c2: 1, epoch: 6, g_best: 10311.9
w: 0.2, c1=c2: 1, epoch: 7, g_best: 7225.52
w: 0.2, c1=c2: 1, epoch: 8, g_best: 10475.1
w: 0.2, c1=c2: 1, epoch: 9, g_best: 11102.4
w: 0.2, c1=c2: 1, epoch: 10, g_best: 9719
w: 0.2, c1=c2: 1, epoch: 11, g_best: 6885.78
w: 0.2, c1=c2: 1, epoch: 12, g_best: 5096.61
w: 0.2, c1=c2: 1, epoch: 13, g_best: 5533.69
w: 0.2, c1=c2: 1, epoch: 14, g_best: 8683.13
w: 0.2, c1=c2: 1, epoch: 15, g_best: 8459.5
w: 0.2, c1=c2: 1, epoch: 16, g_best: 10297.3
w: 0.2, c1=c2: 1, epoch: 17, g_best: 6124.56
w: 0.2, c1=c2: 1, epoch: 18, g_best: 10114.3
w: 0.2, c1=c2: 1, epoch: 19, g_best: 13052.8
w: 0.2, c1=c2: 1, epoch: 20, g_best: 11311
w: 0.2, c1=c2: 1, epoch: 21, g_best: 10661.2
w: 0.2, c1=c2: 1, epoch: 22, g_best: 10771.3
w: 0.2, c1=c2: 1, epoch: 23, g_best: 10901.5
w: 0.2, c1=c2: 1, epoch: 24, g_best: 9837.01
w: 0.2, c1=c2: 1, epoch: 25, g_best: 10595.3
w: 0.2, c1=c2: 1, epoch: 26, g_best: 7429.65
w: 0.2, c1=c2: 1, epoch: 27, g_best: 14530.8
w: 0.2, c1=c2: 1, epoch: 28, g_best: 9951.37
w: 0.2, c1=c2: 1, epoch: 29, g_best: 7850.82
w: 0.2, c1=c2: 1.5, epoch: 0, g_best: 817.816
w: 0.2, c1=c2: 1.5, epoch: 1, g_best: 1505.39
w: 0.2, c1=c2: 1.5, epoch: 2, g_best: 3528.83
w: 0.2, c1=c2: 1.5, epoch: 3, g_best: 2938.9
w: 0.2, c1=c2: 1.5, epoch: 4, g_best: 3500.05
w: 0.2, c1=c2: 1.5, epoch: 5, g_best: 1070.53
w: 0.2, c1=c2: 1.5, epoch: 6, g_best: 1860.99
w: 0.2, c1=c2: 1.5, epoch: 7, g_best: 1031.67
w: 0.2, c1=c2: 1.5, epoch: 8, g_best: 3562.95
w: 0.2, c1=c2: 1.5, epoch: 9, g_best: 3647.72
w: 0.2, c1=c2: 1.5, epoch: 10, g_best: 3404.52
w: 0.2, c1=c2: 1.5, epoch: 11, g_best: 1672.1
w: 0.2, c1=c2: 1.5, epoch: 12, g_best: 3339.73
w: 0.2, c1=c2: 1.5, epoch: 13, g_best: 1856.15
w: 0.2, c1=c2: 1.5, epoch: 14, g_best: 3174.97
w: 0.2, c1=c2: 1.5, epoch: 15, g_best: 1489.09
w: 0.2, c1=c2: 1.5, epoch: 16, g_best: 2545.86
w: 0.2, c1=c2: 1.5, epoch: 17, g_best: 1712.53
w: 0.2, c1=c2: 1.5, epoch: 18, g_best: 3194.97
w: 0.2, c1=c2: 1.5, epoch: 19, g_best: 1905.35
w: 0.2, c1=c2: 1.5, epoch: 20, g_best: 2700.92
w: 0.2, c1=c2: 1.5, epoch: 21, g_best: 3211.59
w: 0.2, c1=c2: 1.5, epoch: 22, g_best: 2463.56
w: 0.2, c1=c2: 1.5, epoch: 23, g_best: 1847.11
w: 0.2, c1=c2: 1.5, epoch: 24, g_best: 1211.35
w: 0.2, c1=c2: 1.5, epoch: 25, g_best: 3411.48
w: 0.2, c1=c2: 1.5, epoch: 26, g_best: 1764.71
w: 0.2, c1=c2: 1.5, epoch: 27, g_best: 2441.84
w: 0.2, c1=c2: 1.5, epoch: 28, g_best: 1383.9
w: 0.2, c1=c2: 1.5, epoch: 29, g_best: 3708.72
w: 0.2, c1=c2: 2, epoch: 0, g_best: 3.82266e-14
w: 0.2, c1=c2: 2, epoch: 1, g_best: 2.22021e-15
w: 0.2, c1=c2: 2, epoch: 2, g_best: 1.89505e-15
w: 0.2, c1=c2: 2, epoch: 3, g_best: 1.27886e-18
w: 0.2, c1=c2: 2, epoch: 4, g_best: 1.80991e-16
w: 0.2, c1=c2: 2, epoch: 5, g_best: 3.62143e-19
w: 0.2, c1=c2: 2, epoch: 6, g_best: 4.11083e-18
w: 0.2, c1=c2: 2, epoch: 7, g_best: 4.3102e-18
w: 0.2, c1=c2: 2, epoch: 8, g_best: 5.02087e-19
w: 0.2, c1=c2: 2, epoch: 9, g_best: 2.19846e-17
w: 0.2, c1=c2: 2, epoch: 10, g_best: 9.12403e-17
w: 0.2, c1=c2: 2, epoch: 11, g_best: 8.21575e-15
w: 0.2, c1=c2: 2, epoch: 12, g_best: 5.20453e-17
w: 0.2, c1=c2: 2, epoch: 13, g_best: 1.49424e-15
w: 0.2, c1=c2: 2, epoch: 14, g_best: 6.33759e-18
w: 0.2, c1=c2: 2, epoch: 15, g_best: 5.42937e-17
w: 0.2, c1=c2: 2, epoch: 16, g_best: 1.41581e-17
w: 0.2, c1=c2: 2, epoch: 17, g_best: 2.59232e-15
w: 0.2, c1=c2: 2, epoch: 18, g_best: 4.38203e-18
w: 0.2, c1=c2: 2, epoch: 19, g_best: 5.12767e-18
w: 0.2, c1=c2: 2, epoch: 20, g_best: 1.13383e-13
w: 0.2, c1=c2: 2, epoch: 21, g_best: 1.93257e-16
w: 0.2, c1=c2: 2, epoch: 22, g_best: 9.12998e-17
w: 0.2, c1=c2: 2, epoch: 23, g_best: 2.11588e-15
w: 0.2, c1=c2: 2, epoch: 24, g_best: 5.89942e-15
w: 0.2, c1=c2: 2, epoch: 25, g_best: 5.28729e-17
w: 0.2, c1=c2: 2, epoch: 26, g_best: 6.43358e-17
w: 0.2, c1=c2: 2, epoch: 27, g_best: 2.71963e-15
w: 0.2, c1=c2: 2, epoch: 28, g_best: 4.59426e-15
w: 0.2, c1=c2: 2, epoch: 29, g_best: 2.62091e-17
w: 0.2, c1=c2: 2.5, epoch: 0, g_best: 9510.67
w: 0.2, c1=c2: 2.5, epoch: 1, g_best: 5588.85
w: 0.2, c1=c2: 2.5, epoch: 2, g_best: 7083.99
w: 0.2, c1=c2: 2.5, epoch: 3, g_best: 4534.85
w: 0.2, c1=c2: 2.5, epoch: 4, g_best: 4123.1
w: 0.2, c1=c2: 2.5, epoch: 5, g_best: 5680.72
w: 0.2, c1=c2: 2.5, epoch: 6, g_best: 4609.49
w: 0.2, c1=c2: 2.5, epoch: 7, g_best: 9349.31
w: 0.2, c1=c2: 2.5, epoch: 8, g_best: 9961.41
w: 0.2, c1=c2: 2.5, epoch: 9, g_best: 9509.85
w: 0.2, c1=c2: 2.5, epoch: 10, g_best: 5451.38
w: 0.2, c1=c2: 2.5, epoch: 11, g_best: 6214.2
w: 0.2, c1=c2: 2.5, epoch: 12, g_best: 6150.14
w: 0.2, c1=c2: 2.5, epoch: 13, g_best: 7365.92
w: 0.2, c1=c2: 2.5, epoch: 14, g_best: 3741.5
w: 0.2, c1=c2: 2.5, epoch: 15, g_best: 8193.8
w: 0.2, c1=c2: 2.5, epoch: 16, g_best: 6695.18
w: 0.2, c1=c2: 2.5, epoch: 17, g_best: 15970.3
w: 0.2, c1=c2: 2.5, epoch: 18, g_best: 4108.43
w: 0.2, c1=c2: 2.5, epoch: 19, g_best: 4039.36
w: 0.2, c1=c2: 2.5, epoch: 20, g_best: 8177.64
w: 0.2, c1=c2: 2.5, epoch: 21, g_best: 5432.18
w: 0.2, c1=c2: 2.5, epoch: 22, g_best: 5532.44
w: 0.2, c1=c2: 2.5, epoch: 23, g_best: 10409.8
w: 0.2, c1=c2: 2.5, epoch: 24, g_best: 8291.23
w: 0.2, c1=c2: 2.5, epoch: 25, g_best: 9506.98
w: 0.2, c1=c2: 2.5, epoch: 26, g_best: 14543.8
w: 0.2, c1=c2: 2.5, epoch: 27, g_best: 7731.43
w: 0.2, c1=c2: 2.5, epoch: 28, g_best: 2449.3
w: 0.2, c1=c2: 2.5, epoch: 29, g_best: 17668.3
w: 0.2, c1=c2: 3, epoch: 0, g_best: 29273.4
w: 0.2, c1=c2: 3, epoch: 1, g_best: 22488.3
w: 0.2, c1=c2: 3, epoch: 2, g_best: 32802.3
w: 0.2, c1=c2: 3, epoch: 3, g_best: 35929
w: 0.2, c1=c2: 3, epoch: 4, g_best: 31475.9
w: 0.2, c1=c2: 3, epoch: 5, g_best: 28322.6
w: 0.2, c1=c2: 3, epoch: 6, g_best: 32899.9
w: 0.2, c1=c2: 3, epoch: 7, g_best: 27902.9
w: 0.2, c1=c2: 3, epoch: 8, g_best: 24838
w: 0.2, c1=c2: 3, epoch: 9, g_best: 29372.4
w: 0.2, c1=c2: 3, epoch: 10, g_best: 30215.8
w: 0.2, c1=c2: 3, epoch: 11, g_best: 31027.6
w: 0.2, c1=c2: 3, epoch: 12, g_best: 30766.5
w: 0.2, c1=c2: 3, epoch: 13, g_best: 27696.7
w: 0.2, c1=c2: 3, epoch: 14, g_best: 30771.7
w: 0.2, c1=c2: 3, epoch: 15, g_best: 30489.9
w: 0.2, c1=c2: 3, epoch: 16, g_best: 23420.2
w: 0.2, c1=c2: 3, epoch: 17, g_best: 32542.1
w: 0.2, c1=c2: 3, epoch: 18, g_best: 26211
w: 0.2, c1=c2: 3, epoch: 19, g_best: 21499.5
w: 0.2, c1=c2: 3, epoch: 20, g_best: 21606.4
w: 0.2, c1=c2: 3, epoch: 21, g_best: 30784.6
w: 0.2, c1=c2: 3, epoch: 22, g_best: 17676.9
w: 0.2, c1=c2: 3, epoch: 23, g_best: 33565.4
w: 0.2, c1=c2: 3, epoch: 24, g_best: 29023.2
w: 0.2, c1=c2: 3, epoch: 25, g_best: 28897.5
w: 0.2, c1=c2: 3, epoch: 26, g_best: 23081
w: 0.2, c1=c2: 3, epoch: 27, g_best: 27471.2
w: 0.2, c1=c2: 3, epoch: 28, g_best: 24990.8
w: 0.2, c1=c2: 3, epoch: 29, g_best: 27743.3
w: 0.2, c1=c2: 3.5, epoch: 0, g_best: 32426.2
w: 0.2, c1=c2: 3.5, epoch: 1, g_best: 36530.9
w: 0.2, c1=c2: 3.5, epoch: 2, g_best: 30484.5
w: 0.2, c1=c2: 3.5, epoch: 3, g_best: 36189.5
w: 0.2, c1=c2: 3.5, epoch: 4, g_best: 29571.4
w: 0.2, c1=c2: 3.5, epoch: 5, g_best: 36171.6
w: 0.2, c1=c2: 3.5, epoch: 6, g_best: 33713.9
w: 0.2, c1=c2: 3.5, epoch: 7, g_best: 34303
w: 0.2, c1=c2: 3.5, epoch: 8, g_best: 31368.7
w: 0.2, c1=c2: 3.5, epoch: 9, g_best: 29090.5
w: 0.2, c1=c2: 3.5, epoch: 10, g_best: 36818.8
w: 0.2, c1=c2: 3.5, epoch: 11, g_best: 30144.9
w: 0.2, c1=c2: 3.5, epoch: 12, g_best: 32329.1
